id,person_name,gender,age,migration_date,from_city,to_city,reason,distance_km
mig_7526947,Person_905686,Чоловік,24,2025-03-29,Одеса,Дніпро,Екологічні причини,393.29
mig_2091330,Person_508554,Чоловік,18,2025-03-12,Львів,Київ,Робота,468.95
mig_4985540,Person_130235,Чоловік,47,2025-02-05,Суми,Одеса,Робота,576.11
mig_7868697,Person_725286,Жінка,23,2025-02-19,Одеса,Київ,Робота,441.44
mig_1160967,Person_76807,Чоловік,18,2025-03-15,Дніпро,Полтава,Робота,130.09
mig_1866474,Person_116176,Жінка,30,2025-02-08,Вінниця,Донецьк,Робота,700.85
mig_6785709,Person_872122,Жінка,22,2025-02-10,Запоріжжя,Львів,Навчання,844.46
mig_6045640,Person_557292,Жінка,18,2025-02-01,Київ,Харків,Навчання,410.33
mig_7758723,Person_476296,Жінка,44,2025-02-14,Дніпро,Полтава,Сімейні обставини,130.09
mig_6370707,Person_860024,Чоловік,24,2025-04-04,Львів,Запоріжжя,Покращення житлових умов,844.46
mig_1048114,Person_99488,Чоловік,25,2025-03-15,Львів,Полтава,Робота,758.72
mig_3762068,Person_573631,Чоловік,41,2025-02-25,Харків,Дніпро,Бізнес,190.64
mig_4809470,Person_553419,Чоловік,32,2025-02-11,Київ,Вінниця,Робота,200.43
mig_1129988,Person_238159,Жінка,18,2025-04-06,Суми,Львів,Робота,774.48
mig_9792054,Person_689065,Жінка,23,2025-03-29,Вінниця,Донецьк,Робота,700.85
mig_1842164,Person_122939,Жінка,46,2025-03-18,Суми,Вінниця,Сімейні обставини,489.75
mig_9380268,Person_791345,Жінка,28,2025-04-09,Харків,Київ,Навчання,410.33
mig_6078179,Person_334050,Чоловік,23,2025-02-24,Львів,Донецьк,Бізнес,1027.87
mig_8702148,Person_829477,Чоловік,35,2025-04-08,Київ,Харків,Покращення житлових умов,410.33
mig_8420971,Person_694276,Чоловік,59,2025-01-31,Львів,Запоріжжя,Сімейні обставини,844.46
mig_9894910,Person_357270,Жінка,38,2025-03-12,Київ,Полтава,Сімейні обставини,304.13
mig_2506517,Person_199264,Жінка,61,2025-02-09,Вінниця,Львів,Навчання,328.23
mig_9010284,Person_976853,Жінка,44,2025-01-29,Суми,Харків,Сімейні обставини,143.83
mig_2618748,Person_232991,Чоловік,25,2025-03-15,Львів,Донецьк,Сімейні обставини,1027.87
mig_3552654,Person_313886,Чоловік,51,2025-02-18,Донецьк,Одеса,Робота,562.15
mig_6713894,Person_405208,Жінка,36,2025-02-07,Дніпро,Львів,Сімейні обставини,817.27
mig_9368807,Person_834965,Жінка,18,2025-01-20,Вінниця,Полтава,Сімейні обставини,443.09
mig_6344523,Person_372583,Чоловік,66,2025-01-14,Полтава,Вінниця,Сімейні обставини,443.09
mig_1097839,Person_107975,Жінка,18,2025-03-22,Вінниця,Дніпро,Відновлення після війни,490.12
mig_7654725,Person_196706,Жінка,25,2025-02-13,Одеса,Київ,Робота,441.44
mig_9801295,Person_697506,Жінка,18,2025-03-27,Львів,Донецьк,Робота,1027.87
mig_1550288,Person_814520,Чоловік,34,2025-04-01,Дніпро,Харків,Відновлення після війни,190.64
mig_7208251,Person_71308,Жінка,34,2025-01-29,Донецьк,Харків,Навчання,248.19
mig_2608468,Person_123577,Жінка,36,2025-03-22,Київ,Дніпро,Робота,395.21
mig_1538074,Person_580191,Чоловік,18,2025-02-05,Вінниця,Запоріжжя,Навчання,516.29
mig_5383967,Person_99867,Жінка,31,2025-03-09,Дніпро,Донецьк,Сімейні обставини,210.74
mig_8829547,Person_665112,Чоловік,43,2025-03-24,Київ,Одеса,Сімейні обставини,441.44
mig_7315554,Person_621764,Жінка,27,2025-02-13,Київ,Дніпро,Навчання,395.21
mig_5832175,Person_794905,Чоловік,49,2025-01-11,Запоріжжя,Київ,Особисті причини,444.56
mig_6671000,Person_653669,Чоловік,19,2025-03-01,Суми,Полтава,Навчання,147.81
mig_7719634,Person_446842,Чоловік,44,2025-03-24,Вінниця,Дніпро,Сімейні обставини,490.12
mig_1104786,Person_56430,Жінка,27,2025-01-28,Одеса,Дніпро,Навчання,393.29
mig_4452107,Person_357771,Чоловік,42,2025-02-02,Вінниця,Запоріжжя,Навчання,516.29
mig_5370483,Person_253647,Чоловік,18,2025-03-20,Полтава,Одеса,Навчання,447.93
mig_1657566,Person_788484,Жінка,37,2025-03-27,Дніпро,Полтава,Покращення житлових умов,130.09
mig_4441279,Person_466805,Жінка,39,2025-01-23,Запоріжжя,Дніпро,Покращення житлових умов,69.94
mig_2123213,Person_483701,Чоловік,35,2025-01-11,Вінниця,Львів,Робота,328.23
mig_6779409,Person_989814,Жінка,59,2025-02-02,Одеса,Суми,Навчання,576.11
mig_9232741,Person_16440,Жінка,18,2025-03-18,Київ,Донецьк,Робота,594.92
mig_9365526,Person_349213,Жінка,31,2025-01-23,Суми,Одеса,Сімейні обставини,576.11
mig_6388380,Person_651857,Жінка,30,2025-03-01,Суми,Київ,Покращення житлових умов,306.35
mig_5204849,Person_130530,Жінка,41,2025-01-19,Запоріжжя,Вінниця,Покращення житлових умов,516.29
mig_7861125,Person_61631,Жінка,33,2025-03-31,Київ,Одеса,Покращення житлових умов,441.44
mig_8216117,Person_307016,Чоловік,37,2025-03-18,Львів,Вінниця,Сімейні обставини,328.23
mig_9494180,Person_91619,Жінка,26,2025-04-01,Харків,Полтава,Сімейні обставини,129.02
mig_3772735,Person_382501,Чоловік,28,2025-02-27,Київ,Запоріжжя,Бізнес,444.56
mig_8022338,Person_217143,Жінка,18,2025-03-04,Одеса,Харків,Робота,565.19
mig_7377038,Person_942665,Жінка,29,2025-02-09,Харків,Полтава,Бізнес,129.02
mig_5149988,Person_153955,Чоловік,22,2025-01-31,Донецьк,Харків,Навчання,248.19
mig_4525959,Person_604842,Жінка,31,2025-02-15,Київ,Дніпро,Робота,395.21
mig_6108003,Person_866231,Жінка,49,2025-01-29,Львів,Суми,Бізнес,774.48
mig_2711507,Person_783143,Чоловік,42,2025-03-18,Дніпро,Одеса,Навчання,393.29
mig_1539299,Person_296539,Жінка,25,2025-03-23,Київ,Донецьк,Бізнес,594.92
mig_3051590,Person_820291,Чоловік,37,2025-03-09,Полтава,Львів,Навчання,758.72
mig_1460111,Person_564931,Чоловік,28,2025-03-03,Київ,Харків,Робота,410.33
mig_9939598,Person_749791,Чоловік,31,2025-02-27,Донецьк,Суми,Робота,388.37
mig_2708193,Person_634501,Чоловік,58,2025-03-24,Львів,Київ,Навчання,468.95
mig_2522210,Person_858722,Чоловік,43,2025-04-02,Харків,Київ,Робота,410.33
mig_9224894,Person_284492,Чоловік,38,2025-04-06,Львів,Одеса,Бізнес,621.95
mig_2943791,Person_597937,Жінка,43,2025-03-31,Запоріжжя,Суми,Відновлення після війни,342.21
mig_4633066,Person_916608,Жінка,59,2025-02-18,Харків,Суми,Покращення житлових умов,143.83
mig_9592901,Person_542855,Жінка,30,2025-01-28,Харків,Дніпро,Покращення житлових умов,190.64
mig_5415756,Person_393212,Чоловік,24,2025-03-06,Вінниця,Одеса,Бізнес,349.26
mig_2033701,Person_609059,Жінка,44,2025-01-25,Київ,Донецьк,Бізнес,594.92
mig_3199064,Person_960101,Жінка,49,2025-01-18,Донецьк,Львів,Робота,1027.87
mig_2965597,Person_933097,Чоловік,38,2025-02-20,Київ,Львів,Бізнес,468.95
mig_2399071,Person_10514,Чоловік,70,2025-01-27,Дніпро,Вінниця,Навчання,490.12
mig_9978040,Person_477900,Жінка,26,2025-02-10,Полтава,Суми,Робота,147.81
mig_1761931,Person_577467,Жінка,35,2025-03-07,Вінниця,Одеса,Навчання,349.26
mig_3296839,Person_347628,Жінка,52,2025-02-23,Дніпро,Полтава,Робота,130.09
mig_3130627,Person_92301,Чоловік,28,2025-03-22,Суми,Харків,Робота,143.83
mig_2587099,Person_512202,Жінка,55,2025-02-28,Запоріжжя,Суми,Робота,342.21
mig_4287398,Person_709549,Чоловік,62,2025-01-19,Полтава,Запоріжжя,Робота,199.31
mig_6783367,Person_607112,Жінка,32,2025-02-21,Суми,Полтава,Робота,147.81
mig_5742997,Person_352745,Чоловік,18,2025-02-26,Донецьк,Київ,Робота,594.92
mig_6885079,Person_557073,Чоловік,33,2025-01-30,Суми,Дніпро,Бізнес,272.31
mig_2674495,Person_13048,Чоловік,61,2025-03-19,Суми,Київ,Робота,306.35
mig_8732106,Person_308865,Жінка,33,2025-02-09,Харків,Донецьк,Сімейні обставини,248.19
mig_9345310,Person_871863,Жінка,25,2025-03-22,Київ,Полтава,Особисті причини,304.13
mig_2739644,Person_696365,Чоловік,21,2025-03-17,Харків,Вінниця,Навчання,567.04
mig_6456412,Person_605874,Жінка,35,2025-04-03,Вінниця,Дніпро,Робота,490.12
mig_7194523,Person_272645,Чоловік,47,2025-04-03,Харків,Одеса,Навчання,565.19
mig_7193448,Person_309330,Жінка,52,2025-02-09,Полтава,Дніпро,Робота,130.09
mig_9880231,Person_476156,Жінка,38,2025-03-30,Харків,Суми,Робота,143.83
mig_1401925,Person_76231,Жінка,67,2025-02-01,Запоріжжя,Львів,Навчання,844.46
mig_1921860,Person_612795,Чоловік,53,2025-04-08,Одеса,Донецьк,Покращення житлових умов,562.15
mig_2144370,Person_964568,Чоловік,36,2025-02-18,Харків,Одеса,Сімейні обставини,565.19
mig_3322350,Person_318623,Чоловік,48,2025-04-06,Полтава,Харків,Сімейні обставини,129.02
mig_4400881,Person_786383,Чоловік,29,2025-04-08,Вінниця,Київ,Робота,200.43
mig_1794237,Person_353627,Чоловік,24,2025-03-20,Харків,Дніпро,Покращення житлових умов,190.64
mig_7689833,Person_415991,Чоловік,25,2025-01-24,Київ,Суми,Навчання,306.35
mig_9893399,Person_378682,Чоловік,55,2025-03-19,Львів,Київ,Екологічні причини,468.95
mig_7191275,Person_572068,Чоловік,28,2025-04-08,Полтава,Донецьк,Сімейні обставини,295.97
mig_7331932,Person_173187,Жінка,21,2025-03-12,Одеса,Суми,Робота,576.11
mig_3114045,Person_644767,Жінка,38,2025-02-11,Харків,Суми,Сімейні обставини,143.83
mig_3904126,Person_488640,Жінка,25,2025-03-03,Донецьк,Суми,Бізнес,388.37
mig_8534537,Person_225591,Жінка,18,2025-01-23,Львів,Дніпро,Робота,817.27
mig_6376081,Person_976681,Чоловік,32,2025-03-29,Запоріжжя,Суми,Навчання,342.21
mig_8066963,Person_809851,Чоловік,43,2025-02-25,Полтава,Донецьк,Бізнес,295.97
mig_5417810,Person_992098,Жінка,34,2025-02-26,Харків,Донецьк,Навчання,248.19
mig_5606710,Person_909012,Жінка,52,2025-02-06,Дніпро,Вінниця,Робота,490.12
mig_6351495,Person_428352,Чоловік,27,2025-03-05,Суми,Харків,Бізнес,143.83
mig_3481999,Person_920732,Жінка,40,2025-03-23,Львів,Київ,Навчання,468.95
mig_8572644,Person_850132,Жінка,18,2025-02-05,Київ,Донецьк,Покращення житлових умов,594.92
mig_5435449,Person_776649,Жінка,44,2025-02-27,Одеса,Дніпро,Робота,393.29
mig_7823169,Person_375040,Чоловік,21,2025-02-27,Дніпро,Вінниця,Покращення житлових умов,490.12
mig_5044841,Person_54281,Жінка,38,2025-01-22,Суми,Одеса,Покращення житлових умов,576.11
mig_7630052,Person_632297,Жінка,55,2025-04-04,Запоріжжя,Харків,Покращення житлових умов,252.6
mig_9052755,Person_180732,Чоловік,34,2025-01-16,Одеса,Запоріжжя,Бізнес,367.19
mig_7865151,Person_286400,Жінка,22,2025-03-09,Харків,Київ,Відновлення після війни,410.33
mig_4925523,Person_312339,Чоловік,18,2025-02-17,Одеса,Полтава,Навчання,447.93
mig_2210212,Person_147441,Жінка,53,2025-02-08,Одеса,Полтава,Робота,447.93
mig_1017645,Person_920554,Жінка,18,2025-03-12,Дніпро,Львів,Відновлення після війни,817.27
mig_6441798,Person_332937,Жінка,27,2025-03-14,Суми,Донецьк,Навчання,388.37
mig_5977360,Person_177247,Жінка,18,2025-03-23,Львів,Полтава,Навчання,758.72
mig_3171247,Person_895957,Жінка,27,2025-01-24,Львів,Дніпро,Покращення житлових умов,817.27
mig_2881399,Person_86045,Чоловік,51,2025-03-13,Одеса,Вінниця,Робота,349.26
mig_8704285,Person_361397,Чоловік,51,2025-02-04,Вінниця,Суми,Бізнес,489.75
mig_4734112,Person_92063,Чоловік,62,2025-01-16,Запоріжжя,Львів,Робота,844.46
mig_7089482,Person_685818,Чоловік,18,2025-03-20,Харків,Львів,Робота,875.45
mig_7618605,Person_756235,Жінка,44,2025-03-04,Вінниця,Запоріжжя,Покращення житлових умов,516.29
mig_8868926,Person_762276,Жінка,22,2025-04-02,Полтава,Дніпро,Екологічні причини,130.09
mig_4166488,Person_752167,Чоловік,20,2025-01-24,Полтава,Київ,Бізнес,304.13
mig_8395630,Person_314476,Жінка,49,2025-03-17,Дніпро,Вінниця,Бізнес,490.12
mig_7333358,Person_626302,Чоловік,36,2025-02-23,Львів,Харків,Відновлення після війни,875.45
mig_1686025,Person_90541,Чоловік,46,2025-03-18,Вінниця,Запоріжжя,Покращення житлових умов,516.29
mig_8759600,Person_264660,Жінка,30,2025-01-17,Одеса,Вінниця,Покращення житлових умов,349.26
mig_7317958,Person_656199,Чоловік,67,2025-04-03,Запоріжжя,Львів,Екологічні причини,844.46
mig_4696833,Person_409631,Жінка,28,2025-01-15,Дніпро,Запоріжжя,Покращення житлових умов,69.94
mig_4734449,Person_194012,Чоловік,18,2025-03-02,Суми,Львів,Бізнес,774.48
mig_1781085,Person_945008,Чоловік,44,2025-01-29,Вінниця,Львів,Робота,328.23
mig_7442192,Person_166756,Чоловік,18,2025-03-30,Харків,Донецьк,Навчання,248.19
mig_1437630,Person_297152,Чоловік,18,2025-03-21,Одеса,Вінниця,Робота,349.26
mig_4303675,Person_611554,Чоловік,24,2025-02-21,Харків,Донецьк,Робота,248.19
mig_3970945,Person_772426,Чоловік,27,2025-01-20,Харків,Одеса,Сімейні обставини,565.19
mig_8463461,Person_336428,Чоловік,64,2025-03-22,Дніпро,Київ,Бізнес,395.21
mig_3803184,Person_746311,Чоловік,47,2025-01-28,Дніпро,Львів,Покращення житлових умов,817.27
mig_8742110,Person_500610,Жінка,70,2025-02-03,Полтава,Дніпро,Бізнес,130.09
mig_3601774,Person_855986,Жінка,42,2025-02-02,Донецьк,Львів,Навчання,1027.87
mig_2395738,Person_866587,Чоловік,47,2025-01-25,Донецьк,Вінниця,Навчання,700.85
mig_6020554,Person_375623,Чоловік,32,2025-03-23,Запоріжжя,Суми,Сімейні обставини,342.21
mig_7511719,Person_779112,Жінка,45,2025-01-11,Київ,Донецьк,Сімейні обставини,594.92
mig_9529218,Person_59935,Чоловік,38,2025-03-30,Донецьк,Полтава,Покращення житлових умов,295.97
mig_2781514,Person_190448,Жінка,18,2025-01-15,Харків,Суми,Бізнес,143.83
mig_2501715,Person_376188,Чоловік,41,2025-04-01,Запоріжжя,Донецьк,Навчання,199.98
mig_4303510,Person_546230,Жінка,58,2025-01-26,Вінниця,Донецьк,Навчання,700.85
mig_8991733,Person_385206,Жінка,29,2025-01-24,Дніпро,Донецьк,Бізнес,210.74
mig_1360179,Person_451510,Чоловік,52,2025-04-09,Донецьк,Харків,Робота,248.19
mig_8750055,Person_121000,Чоловік,49,2025-03-26,Запоріжжя,Одеса,Робота,367.19
mig_9590002,Person_759674,Чоловік,25,2025-03-09,Львів,Харків,Навчання,875.45
mig_4739954,Person_267581,Жінка,30,2025-01-17,Харків,Київ,Покращення житлових умов,410.33
mig_4197106,Person_342894,Чоловік,28,2025-03-26,Львів,Одеса,Робота,621.95
mig_6057106,Person_826232,Жінка,18,2025-02-13,Одеса,Запоріжжя,Бізнес,367.19
mig_3982920,Person_479551,Жінка,69,2025-02-09,Львів,Одеса,Сімейні обставини,621.95
mig_2602670,Person_59168,Чоловік,38,2025-02-21,Одеса,Суми,Робота,576.11
mig_9575577,Person_51111,Чоловік,41,2025-02-02,Полтава,Одеса,Робота,447.93
mig_7544705,Person_91232,Чоловік,18,2025-04-01,Дніпро,Львів,Навчання,817.27
mig_1855293,Person_618554,Жінка,37,2025-02-19,Одеса,Київ,Робота,441.44
mig_3011270,Person_924359,Чоловік,48,2025-02-16,Вінниця,Дніпро,Робота,490.12
mig_5109704,Person_682118,Жінка,50,2025-01-12,Львів,Суми,Покращення житлових умов,774.48
mig_3988384,Person_251392,Чоловік,33,2025-02-01,Харків,Вінниця,Сімейні обставини,567.04
mig_2992175,Person_940447,Жінка,22,2025-01-11,Суми,Харків,Робота,143.83
mig_7137220,Person_314399,Чоловік,18,2025-01-19,Полтава,Львів,Робота,758.72
mig_5587185,Person_373443,Жінка,20,2025-01-21,Донецьк,Запоріжжя,Навчання,199.98
mig_4008088,Person_129390,Чоловік,39,2025-03-01,Суми,Дніпро,Бізнес,272.31
mig_3246537,Person_859855,Чоловік,47,2025-03-16,Суми,Дніпро,Робота,272.31
mig_8955366,Person_408618,Чоловік,42,2025-03-03,Харків,Запоріжжя,Навчання,252.6
mig_4288699,Person_522214,Жінка,37,2025-01-29,Донецьк,Одеса,Відновлення після війни,562.15
mig_3318309,Person_591366,Чоловік,18,2025-02-02,Донецьк,Суми,Покращення житлових умов,388.37
mig_3301037,Person_826434,Жінка,58,2025-02-08,Полтава,Донецьк,Сімейні обставини,295.97
mig_7779454,Person_61348,Жінка,23,2025-03-26,Київ,Полтава,Робота,304.13
mig_2405877,Person_903122,Жінка,37,2025-02-16,Донецьк,Вінниця,Навчання,700.85
mig_4579392,Person_470008,Чоловік,43,2025-02-07,Запоріжжя,Вінниця,Покращення житлових умов,516.29
mig_6507913,Person_48781,Чоловік,20,2025-01-25,Суми,Київ,Сімейні обставини,306.35
mig_2992659,Person_490801,Чоловік,18,2025-04-05,Харків,Полтава,Бізнес,129.02
mig_6079886,Person_862119,Чоловік,26,2025-04-06,Полтава,Дніпро,Робота,130.09
mig_6103894,Person_424617,Чоловік,24,2025-03-18,Харків,Київ,Навчання,410.33
mig_1682651,Person_168151,Чоловік,39,2025-02-21,Одеса,Полтава,Відновлення після війни,447.93
mig_1068700,Person_188786,Жінка,70,2025-01-20,Одеса,Львів,Відновлення після війни,621.95
mig_6943525,Person_151168,Жінка,53,2025-03-21,Одеса,Вінниця,Бізнес,349.26
mig_1886189,Person_377265,Жінка,34,2025-03-12,Київ,Суми,Навчання,306.35
mig_8527837,Person_582179,Жінка,18,2025-03-13,Київ,Одеса,Сімейні обставини,441.44
mig_6432916,Person_146295,Жінка,35,2025-01-30,Харків,Дніпро,Навчання,190.64
mig_6756634,Person_719733,Жінка,19,2025-03-28,Запоріжжя,Харків,Відновлення після війни,252.6
mig_1864544,Person_436870,Жінка,23,2025-04-08,Донецьк,Дніпро,Покращення житлових умов,210.74
mig_3393268,Person_52099,Чоловік,49,2025-04-04,Вінниця,Донецьк,Навчання,700.85
mig_1441744,Person_607941,Жінка,54,2025-04-02,Дніпро,Донецьк,Робота,210.74
mig_1680375,Person_384952,Жінка,28,2025-02-27,Запоріжжя,Одеса,Відновлення після війни,367.19
mig_3965318,Person_482879,Чоловік,22,2025-03-13,Львів,Полтава,Покращення житлових умов,758.72
mig_2502173,Person_560758,Жінка,49,2025-03-13,Одеса,Київ,Екологічні причини,441.44
mig_5210565,Person_775711,Чоловік,50,2025-02-12,Донецьк,Київ,Навчання,594.92
mig_6435475,Person_543951,Чоловік,29,2025-02-02,Вінниця,Донецьк,Відновлення після війни,700.85
mig_3921403,Person_806690,Жінка,49,2025-02-20,Суми,Київ,Робота,306.35
mig_7264143,Person_811325,Жінка,47,2025-01-29,Харків,Дніпро,Робота,190.64
mig_5794360,Person_469441,Чоловік,18,2025-04-01,Львів,Харків,Робота,875.45
mig_9085921,Person_224197,Чоловік,53,2025-02-24,Харків,Одеса,Сімейні обставини,565.19
mig_3663899,Person_448041,Чоловік,32,2025-01-17,Львів,Київ,Робота,468.95
mig_7437857,Person_926368,Жінка,40,2025-04-03,Харків,Полтава,Бізнес,129.02
mig_9540186,Person_866683,Жінка,29,2025-01-27,Запоріжжя,Вінниця,Робота,516.29
mig_9707904,Person_214640,Жінка,18,2025-03-15,Київ,Суми,Сімейні обставини,306.35
mig_9922132,Person_706552,Чоловік,28,2025-03-11,Запоріжжя,Суми,Сімейні обставини,342.21
mig_6080582,Person_640084,Жінка,44,2025-01-11,Запоріжжя,Донецьк,Покращення житлових умов,199.98
mig_4937159,Person_374908,Жінка,33,2025-03-31,Львів,Харків,Навчання,875.45
mig_9971877,Person_608598,Жінка,43,2025-03-17,Вінниця,Харків,Робота,567.04
mig_5482909,Person_811568,Чоловік,18,2025-02-21,Суми,Вінниця,Навчання,489.75
mig_9406296,Person_934735,Чоловік,18,2025-01-23,Київ,Одеса,Покращення житлових умов,441.44
mig_2071453,Person_949176,Чоловік,63,2025-03-17,Дніпро,Вінниця,Робота,490.12
mig_1674906,Person_835842,Жінка,38,2025-02-05,Київ,Львів,Робота,468.95
mig_7771760,Person_608410,Чоловік,26,2025-01-14,Дніпро,Суми,Навчання,272.31
mig_9849835,Person_154816,Чоловік,25,2025-03-20,Полтава,Запоріжжя,Навчання,199.31
mig_3916067,Person_510565,Жінка,23,2025-01-14,Київ,Львів,Робота,468.95
mig_9558321,Person_627700,Чоловік,58,2025-01-21,Суми,Запоріжжя,Робота,342.21
mig_9027396,Person_422117,Жінка,31,2025-02-04,Полтава,Львів,Робота,758.72
mig_8390241,Person_709040,Чоловік,23,2025-03-11,Київ,Харків,Покращення житлових умов,410.33
mig_7248626,Person_413423,Жінка,37,2025-01-16,Київ,Суми,Робота,306.35
mig_1922383,Person_523978,Чоловік,53,2025-02-11,Донецьк,Одеса,Покращення житлових умов,562.15
mig_4930648,Person_23171,Жінка,47,2025-03-28,Одеса,Львів,Бізнес,621.95
mig_6501843,Person_160442,Чоловік,47,2025-03-05,Львів,Одеса,Навчання,621.95
mig_9060801,Person_267303,Чоловік,29,2025-03-10,Вінниця,Запоріжжя,Робота,516.29
mig_1330836,Person_873991,Чоловік,46,2025-02-22,Донецьк,Київ,Навчання,594.92
mig_2320284,Person_895934,Жінка,35,2025-02-26,Полтава,Київ,Навчання,304.13
mig_6301561,Person_693212,Жінка,18,2025-03-30,Донецьк,Вінниця,Сімейні обставини,700.85
mig_1370394,Person_171071,Жінка,37,2025-03-29,Дніпро,Суми,Екологічні причини,272.31
mig_9444507,Person_950235,Жінка,41,2025-04-10,Суми,Запоріжжя,Сімейні обставини,342.21
mig_7804944,Person_868457,Жінка,38,2025-01-18,Вінниця,Полтава,Покращення житлових умов,443.09
mig_1850620,Person_36362,Чоловік,46,2025-03-27,Суми,Київ,Покращення житлових умов,306.35
mig_8131481,Person_625511,Жінка,45,2025-02-06,Київ,Львів,Сімейні обставини,468.95
mig_2467751,Person_581011,Чоловік,31,2025-02-03,Суми,Одеса,Сімейні обставини,576.11
mig_9856005,Person_943319,Чоловік,34,2025-02-06,Донецьк,Харків,Навчання,248.19
mig_6517673,Person_440420,Чоловік,18,2025-04-03,Київ,Суми,Сімейні обставини,306.35
mig_5156029,Person_265563,Чоловік,46,2025-03-13,Вінниця,Донецьк,Покращення житлових умов,700.85
mig_8374472,Person_90744,Чоловік,42,2025-02-26,Харків,Полтава,Робота,129.02
mig_1175048,Person_127493,Чоловік,24,2025-02-09,Суми,Дніпро,Робота,272.31
mig_5310091,Person_817511,Жінка,24,2025-01-14,Київ,Львів,Навчання,468.95
mig_6994114,Person_377643,Жінка,45,2025-02-24,Вінниця,Одеса,Покращення житлових умов,349.26
mig_4796571,Person_404699,Жінка,33,2025-03-08,Одеса,Суми,Навчання,576.11
mig_5883855,Person_666647,Жінка,35,2025-03-26,Запоріжжя,Київ,Покращення житлових умов,444.56
mig_3392048,Person_425857,Жінка,29,2025-03-29,Львів,Донецьк,Навчання,1027.87
mig_9224145,Person_899317,Чоловік,48,2025-02-20,Київ,Одеса,Навчання,441.44
mig_7755151,Person_920168,Чоловік,63,2025-02-13,Харків,Донецьк,Навчання,248.19
mig_5464863,Person_92880,Чоловік,35,2025-03-07,Київ,Харків,Сімейні обставини,410.33
mig_2204240,Person_566063,Чоловік,51,2025-03-02,Львів,Київ,Навчання,468.95
mig_1213642,Person_612026,Жінка,51,2025-04-09,Одеса,Дніпро,Робота,393.29
mig_6070823,Person_62605,Чоловік,26,2025-04-01,Харків,Київ,Покращення житлових умов,410.33
mig_4779650,Person_55768,Жінка,47,2025-04-04,Київ,Донецьк,Покращення житлових умов,594.92
mig_9089072,Person_266922,Жінка,36,2025-02-23,Вінниця,Запоріжжя,Сімейні обставини,516.29
mig_8427850,Person_55978,Жінка,35,2025-02-19,Харків,Полтава,Сімейні обставини,129.02
mig_8615470,Person_150981,Чоловік,42,2025-01-14,Харків,Донецьк,Сімейні обставини,248.19
mig_5576753,Person_862387,Чоловік,23,2025-03-22,Донецьк,Суми,Робота,388.37
mig_6497285,Person_440900,Жінка,26,2025-04-01,Дніпро,Київ,Бізнес,395.21
